Discipline	Season	Year	Event	Gender	Prompt
Indoor Volleyball	Summer	2012	Indoor Volleyball	Women	Who won the medals in the Women's Indoor Volleyball event at the 2012 olympic games?
Rowing	Summer	2012	Quadruple Sculls	Men	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2012 olympic games?
Rowing	Summer	2012	Quadruple Sculls	Women	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2012 olympic games?
Archery	Summer	2012	Team	Men	Who won the medals in the Men's Archery Team event at the 2012 olympic games?
Archery	Summer	2012	Team	Women	Who won the medals in the Women's Archery Team event at the 2012 olympic games?
Table Tennis	Summer	2012	Team	Men	Who won the medals in the Men's Table Tennis Team event at the 2012 olympic games?
Table Tennis	Summer	2012	Team	Women	Who won the medals in the Women's Table Tennis Team event at the 2012 olympic games?
Artistic Gymnastics	Summer	2012	Team All-Around	Men	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 2012 olympic games?
Artistic Gymnastics	Summer	2012	Team All-Around	Women	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 2012 olympic games?
Water Polo	Summer	2012	Water Polo	Men	Who won the medals in the Men's Water Polo event at the 2012 olympic games?
Water Polo	Summer	2012	Water Polo	Women	Who won the medals in the Women's Water Polo event at the 2012 olympic games?
Curling	Winter	2014	Curling	Men	Who won the medals in the Men's Curling event at the 2014 olympic games?
Curling	Winter	2014	Curling	Women	Who won the medals in the Women's Curling event at the 2014 olympic games?
Ice Hockey	Winter	2014	Ice Hockey	Men	Who won the medals in the Men's Ice Hockey event at the 2014 olympic games?
Ice Hockey	Winter	2014	Ice Hockey	Women	Who won the medals in the Women's Ice Hockey event at the 2014 olympic games?
Swimming	Summer	2016	4 x 100 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Freestyle Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 100 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Freestyle Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 100 metres Medley Relay	Men	Who won the medals in the Men's Swimming 4 x 100 metres Medley Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 100 metres Medley Relay	Women	Who won the medals in the Women's Swimming 4 x 100 metres Medley Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 100 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 100 metres Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 100 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 100 metres Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 200 metres Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 200 metres Freestyle Relay event at the 2016 olympic games?
Swimming	Summer	2016	4 x 200 metres Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 200 metres Freestyle Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 400 metres Relay	Men	Who won the medals in the Men's Athletics 4 x 400 metres Relay event at the 2016 olympic games?
Athletics	Summer	2016	4 x 400 metres Relay	Women	Who won the medals in the Women's Athletics 4 x 400 metres Relay event at the 2016 olympic games?
Basketball	Summer	2016	Basketball	Men	Who won the medals in the Men's Basketball event at the 2016 olympic games?
Basketball	Summer	2016	Basketball	Women	Who won the medals in the Women's Basketball event at the 2016 olympic games?
Rowing	Summer	2016	Coxed Eights	Men	Who won the medals in the Men's Rowing Coxed Eights event at the 2016 olympic games?
Rowing	Summer	2016	Coxed Eights	Women	Who won the medals in the Women's Rowing Coxed Eights event at the 2016 olympic games?
Field Hockey	Summer	2016	Field Hockey	Men	Who won the medals in the Men's Field Hockey event at the 2016 olympic games?
Field Hockey	Summer	2016	Field Hockey	Women	Who won the medals in the Women's Field Hockey event at the 2016 olympic games?
Football	Summer	2016	Football	Men	Who won the medals in the Men's Football event at the 2016 olympic games?
Football	Summer	2016	Football	Women	Who won the medals in the Women's Football event at the 2016 olympic games?
Handball	Summer	2016	Handball	Men	Who won the medals in the Men's Handball event at the 2016 olympic games?
Handball	Summer	2016	Handball	Women	Who won the medals in the Women's Handball event at the 2016 olympic games?
Indoor Volleyball	Summer	2016	Indoor Volleyball	Men	Who won the medals in the Men's Indoor Volleyball event at the 2016 olympic games?
Indoor Volleyball	Summer	2016	Indoor Volleyball	Women	Who won the medals in the Women's Indoor Volleyball event at the 2016 olympic games?
Rowing	Summer	2016	Quadruple Sculls	Men	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2016 olympic games?
Rowing	Summer	2016	Quadruple Sculls	Women	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2016 olympic games?
Rugby	Summer	2016	Rugby Sevens	Men	Who won the medals in the Men's Rugby Rugby Sevens event at the 2016 olympic games?
Rugby	Summer	2016	Rugby Sevens	Women	Who won the medals in the Women's Rugby Rugby Sevens event at the 2016 olympic games?
Archery	Summer	2016	Team	Men	Who won the medals in the Men's Archery Team event at the 2016 olympic games?
Archery	Summer	2016	Team	Women	Who won the medals in the Women's Archery Team event at the 2016 olympic games?
Table Tennis	Summer	2016	Team	Men	Who won the medals in the Men's Table Tennis Team event at the 2016 olympic games?
Table Tennis	Summer	2016	Team	Women	Who won the medals in the Women's Table Tennis Team event at the 2016 olympic games?
Artistic Gymnastics	Summer	2016	Team All-Around	Men	Who won the medals in the Men's Artistic Gymnastics Team All-Around event at the 2016 olympic games?
Artistic Gymnastics	Summer	2016	Team All-Around	Women	Who won the medals in the Women's Artistic Gymnastics Team All-Around event at the 2016 olympic games?
Cycling Track	Summer	2016	Team Pursuit, 4,000 metres	Men	Who won the medals in the Men's Cycling Track Team Pursuit, 4,000 metres event at the 2016 olympic games?
Cycling Track	Summer	2016	Team Pursuit, 4,000 metres	Women	Who won the medals in the Women's Cycling Track Team Pursuit, 4,000 metres event at the 2016 olympic games?
Water Polo	Summer	2016	Water Polo	Men	Who won the medals in the Men's Water Polo event at the 2016 olympic games?
Water Polo	Summer	2016	Water Polo	Women	Who won the medals in the Women's Water Polo event at the 2016 olympic games?
Fencing	Summer	2016	Épée, Team	Men	Who won the medals in the Men's Fencing Épée, Team event at the 2016 olympic games?
Fencing	Summer	2016	Épée, Team	Women	Who won the medals in the Women's Fencing Épée, Team event at the 2016 olympic games?
Curling	Winter	2018	Curling	Men	Who won the medals in the Men's Curling event at the 2018 olympic games?
Curling	Winter	2018	Curling	Women	Who won the medals in the Women's Curling event at the 2018 olympic games?
Ice Hockey	Winter	2018	Ice Hockey	Men	Who won the medals in the Men's Ice Hockey event at the 2018 olympic games?
Ice Hockey	Winter	2018	Ice Hockey	Women	Who won the medals in the Women's Ice Hockey event at the 2018 olympic games?
3x3 Basketball	Summer	2020		Men	Who won the medals in the Men's 3x3 Basketball event at the 2020 olympic games?
3x3 Basketball	Summer	2020		Women	Who won the medals in the Women's 3x3 Basketball event at the 2020 olympic games?
Basketball	Summer	2020		Men	Who won the medals in the Men's Basketball event at the 2020 olympic games?
Basketball	Summer	2020		Women	Who won the medals in the Women's Basketball event at the 2020 olympic games?
Field Hockey	Summer	2020		Men	Who won the medals in the Men's Field Hockey event at the 2020 olympic games?
Field Hockey	Summer	2020		Women	Who won the medals in the Women's Field Hockey event at the 2020 olympic games?
Football	Summer	2020		Men	Who won the medals in the Men's Football event at the 2020 olympic games?
Football	Summer	2020		Women	Who won the medals in the Women's Football event at the 2020 olympic games?
Handball	Summer	2020		Men	Who won the medals in the Men's Handball event at the 2020 olympic games?
Handball	Summer	2020		Women	Who won the medals in the Women's Handball event at the 2020 olympic games?
Indoor Volleyball	Summer	2020		Men	Who won the medals in the Men's Indoor Volleyball event at the 2020 olympic games?
Indoor Volleyball	Summer	2020		Women	Who won the medals in the Women's Indoor Volleyball event at the 2020 olympic games?
Rugby Sevens	Summer	2020		Men	Who won the medals in the Men's Rugby Sevens event at the 2020 olympic games?
Rugby Sevens	Summer	2020		Women	Who won the medals in the Women's Rugby Sevens event at the 2020 olympic games?
Water Polo	Summer	2020		Men	Who won the medals in the Men's Water Polo event at the 2020 olympic games?
Water Polo	Summer	2020		Women	Who won the medals in the Women's Water Polo event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 100m Freestyle Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 100m Freestyle Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Medley Relay	Men	Who won the medals in the Men's Swimming 4 x 100m Medley Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 100m Medley Relay	Women	Who won the medals in the Women's Swimming 4 x 100m Medley Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 100m Relay	Men	Who won the medals in the Men's Athletics 4 x 100m Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 100m Relay	Women	Who won the medals in the Women's Athletics 4 x 100m Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 200m Freestyle Relay	Men	Who won the medals in the Men's Swimming 4 x 200m Freestyle Relay event at the 2020 olympic games?
Swimming	Summer	2020	4 x 200m Freestyle Relay	Women	Who won the medals in the Women's Swimming 4 x 200m Freestyle Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 400m Relay	Men	Who won the medals in the Men's Athletics 4 x 400m Relay event at the 2020 olympic games?
Athletics	Summer	2020	4 x 400m Relay	Women	Who won the medals in the Women's Athletics 4 x 400m Relay event at the 2020 olympic games?
Rowing	Summer	2020	Eight	Men	Who won the medals in the Men's Rowing Eight event at the 2020 olympic games?
Rowing	Summer	2020	Eight	Women	Who won the medals in the Women's Rowing Eight event at the 2020 olympic games?
Fencing	Summer	2020	Epée Team	Men	Who won the medals in the Men's Fencing Epée Team event at the 2020 olympic games?
Fencing	Summer	2020	Epée Team	Women	Who won the medals in the Women's Fencing Epée Team event at the 2020 olympic games?
Fencing	Summer	2020	Foil Team	Men	Who won the medals in the Men's Fencing Foil Team event at the 2020 olympic games?
Fencing	Summer	2020	Foil Team	Women	Who won the medals in the Women's Fencing Foil Team event at the 2020 olympic games?
Rowing	Summer	2020	Four	Men	Who won the medals in the Men's Rowing Four event at the 2020 olympic games?
Rowing	Summer	2020	Four	Women	Who won the medals in the Women's Rowing Four event at the 2020 olympic games?
Canoe Sprint	Summer	2020	Kayak Four 500m	Men	Who won the medals in the Men's Canoe Sprint Kayak Four 500m event at the 2020 olympic games?
Canoe Sprint	Summer	2020	Kayak Four 500m	Women	Who won the medals in the Women's Canoe Sprint Kayak Four 500m event at the 2020 olympic games?
Rowing	Summer	2020	Quadruple Sculls	Men	Who won the medals in the Men's Rowing Quadruple Sculls event at the 2020 olympic games?
Rowing	Summer	2020	Quadruple Sculls	Women	Who won the medals in the Women's Rowing Quadruple Sculls event at the 2020 olympic games?
Fencing	Summer	2020	Sabre Team	Men	Who won the medals in the Men's Fencing Sabre Team event at the 2020 olympic games?
Fencing	Summer	2020	Sabre Team	Women	Who won the medals in the Women's Fencing Sabre Team event at the 2020 olympic games?
Archery	Summer	2020	Team	Men	Who won the medals in the Men's Archery Team event at the 2020 olympic games?
Archery	Summer	2020	Team	Women	Who won the medals in the Women's Archery Team event at the 2020 olympic games?
Artistic Gymnastics	Summer	2020	Team	Men	Who won the medals in the Men's Artistic Gymnastics Team event at the 2020 olympic games?
Artistic Gymnastics	Summer	2020	Team	Women	Who won the medals in the Women's Artistic Gymnastics Team event at the 2020 olympic games?
Table Tennis	Summer	2020	Team	Men	Who won the medals in the Men's Table Tennis Team event at the 2020 olympic games?
Table Tennis	Summer	2020	Team	Women	Who won the medals in the Women's Table Tennis Team event at the 2020 olympic games?
Cycling Track	Summer	2020	Team Pursuit	Men	Who won the medals in the Men's Cycling Track Team Pursuit event at the 2020 olympic games?
Cycling Track	Summer	2020	Team Pursuit	Women	Who won the medals in the Women's Cycling Track Team Pursuit event at the 2020 olympic games?
